i j mp formula
4 4 mp-570213 LiMgBi
5 5 mp-570213 LiMgBi
6 6 mp-570213 LiMgBi
1 1 mp-30818 Li2AlPt
1 2 mp-30818 Li2AlPt
1 3 mp-30818 Li2AlPt
2 1 mp-30818 Li2AlPt
2 2 mp-30818 Li2AlPt
2 3 mp-30818 Li2AlPt
3 1 mp-30818 Li2AlPt
3 2 mp-30818 Li2AlPt
3 3 mp-30818 Li2AlPt
4 4 mp-30818 Li2AlPt
5 5 mp-30818 Li2AlPt
6 6 mp-30818 Li2AlPt
1 1 mp-765966 LiVF6
1 2 mp-765966 LiVF6
1 3 mp-765966 LiVF6
2 1 mp-765966 LiVF6
2 2 mp-765966 LiVF6
2 3 mp-765966 LiVF6
3 1 mp-765966 LiVF6
3 2 mp-765966 LiVF6
3 3 mp-765966 LiVF6
4 4 mp-765966 LiVF6
5 5 mp-765966 LiVF6
6 6 mp-765966 LiVF6
1 1 mp-3161 LiAlSi
1 2 mp-3161 LiAlSi
1 3 mp-3161 LiAlSi
2 1 mp-3161 LiAlSi
2 2 mp-3161 LiAlSi
2 3 mp-3161 LiAlSi
3 1 mp-3161 LiAlSi
3 2 mp-3161 LiAlSi
3 3 mp-3161 LiAlSi
4 4 mp-3161 LiAlSi
5 5 mp-3161 LiAlSi
6 6 mp-3161 LiAlSi
1 1 mp-867812 LiAlNi2
1 2 mp-867812 LiAlNi2
1 3 mp-867812 LiAlNi2
2 1 mp-867812 LiAlNi2
2 2 mp-867812 LiAlNi2
2 3 mp-867812 LiAlNi2
3 1 mp-867812 LiAlNi2
3 2 mp-867812 LiAlNi2
3 3 mp-867812 LiAlNi2
4 4 mp-867812 LiAlNi2
5 5 mp-867812 LiAlNi2
6 6 mp-867812 LiAlNi2
1 1 mp-762800 Li4VF7
1 2 mp-762800 Li4VF7
1 3 mp-762800 Li4VF7
2 1 mp-762800 Li4VF7
2 2 mp-762800 Li4VF7
2 3 mp-762800 Li4VF7
3 1 mp-762800 Li4VF7
3 2 mp-762800 Li4VF7
3 3 mp-762800 Li4VF7
4 4 mp-762800 Li4VF7
5 5 mp-762800 Li4VF7
6 6 mp-762800 Li4VF7
1 1 mp-15988 Li2CuSb
1 2 mp-15988 Li2CuSb
1 3 mp-15988 Li2CuSb
2 1 mp-15988 Li2CuSb
2 2 mp-15988 Li2CuSb
2 3 mp-15988 Li2CuSb
3 1 mp-15988 Li2CuSb
3 2 mp-15988 Li2CuSb
3 3 mp-15988 Li2CuSb
4 4 mp-15988 Li2CuSb
5 5 mp-15988 Li2CuSb
6 6 mp-15988 Li2CuSb
1 1 mp-759877 Li4CuF7
1 2 mp-759877 Li4CuF7
1 3 mp-759877 Li4CuF7
2 1 mp-759877 Li4CuF7
2 2 mp-759877 Li4CuF7
2 3 mp-759877 Li4CuF7
3 1 mp-759877 Li4CuF7
3 2 mp-759877 Li4CuF7
3 3 mp-759877 Li4CuF7
4 4 mp-759877 Li4CuF7
5 5 mp-759877 Li4CuF7
6 6 mp-759877 Li4CuF7
1 1 mp-760375 Li3VS4
1 2 mp-760375 Li3VS4
1 3 mp-760375 Li3VS4
2 1 mp-760375 Li3VS4
2 2 mp-760375 Li3VS4
2 3 mp-760375 Li3VS4
3 1 mp-760375 Li3VS4
3 2 mp-760375 Li3VS4
3 3 mp-760375 Li3VS4
4 4 mp-760375 Li3VS4
5 5 mp-760375 Li3VS4
6 6 mp-760375 Li3VS4
1 1 mp-12558 LiMgAs
1 2 mp-12558 LiMgAs
1 3 mp-12558 LiMgAs
2 1 mp-12558 LiMgAs
2 2 mp-12558 LiMgAs
2 3 mp-12558 LiMgAs
3 1 mp-12558 LiMgAs
3 2 mp-12558 LiMgAs
3 3 mp-12558 LiMgAs
4 4 mp-12558 LiMgAs
5 5 mp-12558 LiMgAs
6 6 mp-12558 LiMgAs
1 1 mp-11490 Li2ZnSn
1 2 mp-11490 Li2ZnSn
1 3 mp-11490 Li2ZnSn
2 1 mp-11490 Li2ZnSn
2 2 mp-11490 Li2ZnSn
2 3 mp-11490 Li2ZnSn
3 1 mp-11490 Li2ZnSn
3 2 mp-11490 Li2ZnSn
3 3 mp-11490 Li2ZnSn
4 4 mp-11490 Li2ZnSn
5 5 mp-11490 Li2ZnSn
6 6 mp-11490 Li2ZnSn
1 1 mp-862316 LiBePt2
1 2 mp-862316 LiBePt2
1 3 mp-862316 LiBePt2
2 1 mp-862316 LiBePt2
2 2 mp-862316 LiBePt2
2 3 mp-862316 LiBePt2
3 1 mp-862316 LiBePt2
3 2 mp-862316 LiBePt2
3 3 mp-862316 LiBePt2
4 4 mp-862316 LiBePt2
5 5 mp-862316 LiBePt2
6 6 mp-862316 LiBePt2
1 1 mp-866194 Li2MgCd
1 2 mp-866194 Li2MgCd
1 3 mp-866194 Li2MgCd
2 1 mp-866194 Li2MgCd
2 2 mp-866194 Li2MgCd
2 3 mp-866194 Li2MgCd
3 1 mp-866194 Li2MgCd
3 2 mp-866194 Li2MgCd
3 3 mp-866194 Li2MgCd
4 4 mp-866194 Li2MgCd
5 5 mp-866194 Li2MgCd
6 6 mp-866194 Li2MgCd
1 1 mp-865986 Li2CaGe
1 2 mp-865986 Li2CaGe
1 3 mp-865986 Li2CaGe
2 1 mp-865986 Li2CaGe
2 2 mp-865986 Li2CaGe
2 3 mp-865986 Li2CaGe
3 1 mp-865986 Li2CaGe
3 2 mp-865986 Li2CaGe
3 3 mp-865986 Li2CaGe
4 4 mp-865986 Li2CaGe
5 5 mp-865986 Li2CaGe
6 6 mp-865986 Li2CaGe
1 1 mp-864631 LiNbRh2
1 2 mp-864631 LiNbRh2
1 3 mp-864631 LiNbRh2
2 1 mp-864631 LiNbRh2
2 2 mp-864631 LiNbRh2
2 3 mp-864631 LiNbRh2
3 1 mp-864631 LiNbRh2
3 2 mp-864631 LiNbRh2
3 3 mp-864631 LiNbRh2
4 4 mp-864631 LiNbRh2
5 5 mp-864631 LiNbRh2
6 6 mp-864631 LiNbRh2
1 1 mp-862318 LiAl2Ni
1 2 mp-862318 LiAl2Ni
1 3 mp-862318 LiAl2Ni
2 1 mp-862318 LiAl2Ni
2 2 mp-862318 LiAl2Ni
2 3 mp-862318 LiAl2Ni
3 1 mp-862318 LiAl2Ni
3 2 mp-862318 LiAl2Ni
3 3 mp-862318 LiAl2Ni
4 4 mp-862318 LiAl2Ni
5 5 mp-862318 LiAl2Ni
6 6 mp-862318 LiAl2Ni
1 1 mp-867272 LiAlCu2
1 2 mp-867272 LiAlCu2
1 3 mp-867272 LiAlCu2
2 1 mp-867272 LiAlCu2
2 2 mp-867272 LiAlCu2
2 3 mp-867272 LiAlCu2
3 1 mp-867272 LiAlCu2
3 2 mp-867272 LiAlCu2
3 3 mp-867272 LiAlCu2
4 4 mp-867272 LiAlCu2
5 5 mp-867272 LiAlCu2
6 6 mp-867272 LiAlCu2
1 1 mp-5077 NaLi2Sb
1 2 mp-5077 NaLi2Sb
1 3 mp-5077 NaLi2Sb
2 1 mp-5077 NaLi2Sb
2 2 mp-5077 NaLi2Sb
2 3 mp-5077 NaLi2Sb
3 1 mp-5077 NaLi2Sb
3 2 mp-5077 NaLi2Sb
3 3 mp-5077 NaLi2Sb
4 4 mp-5077 NaLi2Sb
5 5 mp-5077 NaLi2Sb
6 6 mp-5077 NaLi2Sb
1 1 mp-567652 Cs2LiYCl6
1 2 mp-567652 Cs2LiYCl6
1 3 mp-567652 Cs2LiYCl6
2 1 mp-567652 Cs2LiYCl6
2 2 mp-567652 Cs2LiYCl6
2 3 mp-567652 Cs2LiYCl6
3 1 mp-567652 Cs2LiYCl6
3 2 mp-567652 Cs2LiYCl6
3 3 mp-567652 Cs2LiYCl6
4 4 mp-567652 Cs2LiYCl6
5 5 mp-567652 Cs2LiYCl6
6 6 mp-567652 Cs2LiYCl6
1 1 mp-11806 LiMgSnPt
1 2 mp-11806 LiMgSnPt
1 3 mp-11806 LiMgSnPt
2 1 mp-11806 LiMgSnPt
2 2 mp-11806 LiMgSnPt
2 3 mp-11806 LiMgSnPt
3 1 mp-11806 LiMgSnPt
3 2 mp-11806 LiMgSnPt
3 3 mp-11806 LiMgSnPt
4 4 mp-11806 LiMgSnPt
5 5 mp-11806 LiMgSnPt
6 6 mp-11806 LiMgSnPt
1 1 mp-989512 LiTl2InCl6
1 2 mp-989512 LiTl2InCl6
1 3 mp-989512 LiTl2InCl6
2 1 mp-989512 LiTl2InCl6
2 2 mp-989512 LiTl2InCl6
2 3 mp-989512 LiTl2InCl6
3 1 mp-989512 LiTl2InCl6
3 2 mp-989512 LiTl2InCl6
3 3 mp-989512 LiTl2InCl6
4 4 mp-989512 LiTl2InCl6
5 5 mp-989512 LiTl2InCl6
6 6 mp-989512 LiTl2InCl6
